,Alay,KBBI
1085,slamat,selamat
1086,ulan,ulang
1087,th,tahun
1088,mngkin,mungkin
1089,klau,kalau
1090,diksi,dikasih
1091,sipp,sip
1092,taun,tahun
1093,jugak,juga
1094,nungguin,menunggu
1095,ngeluarin,mengeluarkan
1096,keciill,kecil
1097,ughaa,juga
1098,"tante""",tante-tante
1099,banged,banget
1100,abeees,habis
1101,kapan2,kapan-kapan
1102,adain,mengadakan
1103,bosen2,bosan-bosan
1104,sempurnaaaaa,sempurna
1105,kaan,kan
1106,kece2,kece-kece
1107,badaaiii,badai
1108,beneraan,benaran
1109,cantiiik,cantik
1110,kuatttt,kuat
1111,cantiiiiiiik,cantik
1112,cantiknyaaa,cantiknya
1113,bae2,baik-baik
1114,bgd,banget
1115,mb,mbak
1116,catiiiiik,cantik
1117,subahanallah,subhanallah
1118,jaman2nya,jaman-jamannya
1119,padet,padat
1120,buktiin,buktikan
1121,cantiq,cantik
1122,"pasien""nya",pasien-pasiennya
1123,lohh,loh
1124,utk,untuk
1125,keeeerrrreeeennnnnnnnn,keren
1126,woow,wow
1127,choker2,choker-choker
1128,hadirrr,hadir
1129,hadirr,hadir
1130,jelashh,jelas
1131,sekali2,sekali-kali
1132,mbaaa,mbak
1133,temen,teman
1134,hidupppp,hidup
1135,nyebelin,menyebalkan
1136,diliatnya,dilihatnya
1137,abis2,habis-habis
1138,para2,parah-parah
1139,bangeeet,banget
1140,allahhhhhhh,allah
1141,gemesnya,gemasnya
1142,ilang2,hilang-hilang
1143,kmi,kami
1144,ngilangin,menghilangkan
1145,tbuh,tubuh
1146,itungan,hitungan
1147,ledekin,ledeki
1148,tmn2,teman-teman
1149,repot2,repot-repot
1150,oles2,oles-oles
1151,ckup,cukup
1152,dptkan,dapatkan
1153,artis2,artis-artis
1154,kalii,kali
1155,ninggiin,meninggikan
1156,baget,banget
1157,dri,dari
1158,kira2,kira-kira
1159,lgsg,langsung
1160,ngk,enggak
1161,ahh,ah
1162,pas2an,pas-pasan
1163,balesin,membalas
1164,gausah,enggak usah
1165,sukaaa,suka
1166,lutuna,lucunya
1167,ciapa,siapa
1168,gemesss,gemas
1169,duhh,duh
1170,terharuuu,terharu
1171,alamii,alami
1172,sampek,sampai
1173,ckrng,sekarang
1174,ngegemesin,menggemaskan
1175,imoet,imut
1176,imut2,imut-imut
1177,jagain,jaga
1178,yahbh,ya
1179,msih,masih
1180,macem2,macam-macam
1181,neko2,neko-neko
1182,sktika,seketika
1183,lutu,lucu
1184,wowwww,wow
1185,massss,mas
1186,kesiniii,kesini
1187,"keren""",keren-keren
1188,"jalan""nya",jalan-jalannya
1189,masyaallahhh,masyaallah
1190,kerennn,keren
1191,ksni,kesini
1192,begok,bego
1193,bkan,bukan
1194,jgk,juga
1195,bawak,bawa
1196,it,itu
1197,nti,nanti
1198,pgi,pagi
1199,keeeeeren,keren
1200,baguusss,bagus
1201,mna,mana
1202,nahannnn,tahan
1203,bagaatt,banget
1204,gayannxa,gayanya
1205,kereeeen,keren
1206,uda,sudah
1207,ngekeh,kekeh
1208,xlian,kalian
1209,b3,bertiga
1210,ihhh,ih
1211,lcu,lucu
1212,pait,pahit
1213,koplakkk,koplak
1214,kerass,keras
1215,yachhh,ya
1216,gokil,gila
1217,ngelihat,melihat
1218,ngelawak,melawak
1219,iiihhhhh,ih
1220,nyolotinnnn,menyolot
1221,beratttttttt,berat
1222,cantiikkkk,cantik
1223,hijaabbb,hijab
1224,sekalii,sekali
1225,smnagatin,menyemangati
1226,pakek,pakai
1227,kanapa,kenapa
1228,cans,cantik
1229,banhet,banget
1230,bgttttttt,banget
1231,blng,bilang
1232,mngasi,mengasih
1233,kmbang,kembang
1234,pg,pagi
1235,nie,ini
1236,pla,pula
1237,blakon,berlakon
1238,sy,saya
1239,nmpk,nampak
1240,bngtzt,banget
1241,lucukkkkk,lucu
1242,sbelah,sebelah
1243,baek,baik
1244,ciusss,serius
1245,palinf,paling
1246,fav,favorit
1247,maak,mak
1248,ngakaaaakkk,mengakak
1249,gokill,gila
1250,kocakkkkkk,kocak
1251,ngekek,mengekek
1252,capee,cape
1253,pegangin,memegang
1254,nyender,menyandar
1255,bener,benar
1256,manjain,memanjakan
1257,peleotin,meleot
1258,bng,bang
1259,termurahhhh,termurah
